gene_id	utrname1	gene_symbol	gs_id
152518	NM_152995	NFXL1	10102
152518	NR_103795	NFXL1	10102
152518	NM_001278623	NFXL1	10102
152518	NM_001278624	NFXL1	10102
152519	NM_207330	NIPAL1	7892
152559	NM_001040202	PAQR3	6781
152756	NM_153027	FAM218A	12236
152789	NM_001099433	JAKMIP1	4464
152789	NM_001306133	JAKMIP1	4464
152789	NM_001306134	JAKMIP1	4464
152789	NM_144720	JAKMIP1	4464
152815	NM_144721	THAP6	5441
152815	NM_001317791	THAP6	5441
152816	NM_001206981	ODAPH	14114
152816	NM_001257072	ODAPH	14114
152816	NM_178497	ODAPH	14114
152831	NM_175737	KLB	2091
152926	NM_152542	PPM1K	13924
152940	NM_152543	C4orf45	3007
153020	NM_001300736	RASGEF1B	12249
153020	NM_001300735	RASGEF1B	12249
153020	NM_152545	RASGEF1B	12249
153090	NM_032552	DAB2IP	974
153090	NM_138709	DAB2IP	974
153129	NM_173514	SLC38A9	12988
153129	NR_047649	SLC38A9	12988
153129	NM_001258287	SLC38A9	12988
153129	NM_001258286	SLC38A9	12988
153129	NM_001282429	SLC38A9	12988
153201	NM_181776	SLC36A2	14303
153222	NM_001168394	CREBRF	1593
153222	NM_153607	CREBRF	1593
153222	NM_001168393	CREBRF	1593
153241	NM_001166226	CEP120	7838
153241	NM_153223	CEP120	7838
153339	NM_174909	TMEM167A	2363
153364	NM_203406	MBLAC2	5573
153396	NR_110266	TMEM161B	7853
153396	NM_001289008	TMEM161B	7853
153396	NM_153354	TMEM161B	7853
153396	NM_001289007	TMEM161B	7853
153443	NM_152546	SRFBP1	13643
153478	NM_052909	PLEKHG4B	12650
153527	NM_144723	ZMAT2	11200
153562	NM_001244734	MARVELD2	12182
153562	NM_001038603	MARVELD2	12182
153571	NM_001306149	C5orf38	13013
153571	NM_178569	C5orf38	13013
153571	NM_001306150	C5orf38	13013
153571	NM_001294337	C5orf38	13013
153572	NM_033267	IRX2	2985
153572	NM_001134222	IRX2	2985
153579	NM_001308245	BTNL9	7896
153579	NM_152547	BTNL9	7896
153642	NM_198150	ARSK	12058
153643	NM_152548	FAM81B	13486
153657	NM_001317949	TTC23L	3322
153657	NM_144725	TTC23L	3322
153733	NM_152549	CCDC112	4413
153733	NM_001040440	CCDC112	4413
153745	NM_130899	FAM71B	12957
153768	NM_138492	PRELID2	13155
153768	NM_205846	PRELID2	13155
153768	NM_182960	PRELID2	13155
153769	NM_152550	SH3RF2	13562
153770	NM_001029869	PLAC8L1	3009
153830	NM_001199381	RNF145	5378
153830	NM_001199382	RNF145	5378
153830	NM_144726	RNF145	5378
153830	NM_001199380	RNF145	5378
153830	NM_001199383	RNF145	5378
154007	NM_152551	SNRNP48	9199
154043	NM_173515	CNKSR3	6429
154075	NM_001258275	SAMD3	7879
154075	NM_001277185	SAMD3	7879
154075	NM_001017373	SAMD3	7879
154091	NM_145176	SLC2A12	2979
154141	NM_001080480	MBOAT1	13855
154141	NR_073465	MBOAT1	13855
154197	NM_001271862	PNLDC1	3361
154197	NM_173516	PNLDC1	3361
154214	NM_152553	RNF217	8020
154214	NM_001286398	RNF217	8020
154215	NM_001300738	NKAIN2	3402
154215	NM_153355	NKAIN2	3402
154215	NM_001300740	NKAIN2	3402
154215	NM_001040214	NKAIN2	3402
154215	NM_001300737	NKAIN2	3402
154288	NM_001017361	KHDC3L	4280
154386	NR_131168	LINC01600	3668
154661	NM_138290	RUNDC3B	3809
154661	NM_001134406	RUNDC3B	3809
154661	NM_001134405	RUNDC3B	3809
154664	NM_152701	ABCA13	4896
154743	NM_152556	BMT2	5382
154791	NM_197964	FMC1	7979
154796	NM_133265	AMOT	4964
154796	NM_001113490	AMOT	4964
154807	NM_173517	VKORC1L1	12613
154807	NM_001284342	VKORC1L1	12613
154810	NM_001301007	AMOTL1	10796
154810	NM_130847	AMOTL1	10796
154881	NM_001167961	KCTD7	11147
154881	NM_153033	KCTD7	11147
155006	NM_001085429	TMEM213	13753
155038	NM_175571	GIMAP8	9747
155051	NM_001308292	CRYGN	3425
155051	NR_131779	CRYGN	3425
155051	NM_144727	CRYGN	3425
155054	NM_001001661	ZNF425	13696
155061	NM_152557	ZNF746	11015
155061	NM_001163474	ZNF746	11015
155066	NM_001289990	ATP6V0E2	13408
155066	NM_001100592	ATP6V0E2	13408
155066	NM_145230	ATP6V0E2	13408
155185	NM_001321766	AMZ1	7030
155185	NM_133463	AMZ1	7030
155185	NM_001284355	AMZ1	7030
155368	NM_152559	METTL27	13889
155382	NM_001077621	VPS37D	5207
155435	NM_053043	RBM33	10214
155465	NM_176813	AGR3	4617
157247	NR_046216	MGC27345	910
157285	NM_001080826	PRAG1	3773
157310	NM_144962	PEBP4	3694
157313	NM_001317907	CDCA2	2518
157313	NM_001317906	CDCA2	2518
157313	NM_152562	CDCA2	2518
157378	NM_194291	TMEM65	8268
157506	NM_172037	RDH10	580
157567	NM_001270377	ANKRD46	1809
157567	NM_001270379	ANKRD46	1809
157567	NM_001270378	ANKRD46	1809
157567	NM_198401	ANKRD46	1809
157570	NM_001017420	ESCO2	6173
157638	NM_174911	FAM84B	2778
157657	NM_177965	C8orf37	13231
157680	NM_017890	VPS13B	3960
157680	NM_181661	VPS13B	3960
157680	NM_152564	VPS13B	3960
157680	NM_015243	VPS13B	3960
157695	NM_175075	TDRP	7160
157695	NM_001256113	TDRP	7160
157697	NM_207332	ERICH1	10601
157697	NM_001303100	ERICH1	10601
157724	NM_138817	SLC7A13	4330
157753	NR_136411	TMEM74	6802
157753	NM_153015	TMEM74	6802
157769	NM_001317918	FAM91A1	5715
157769	NM_001317917	FAM91A1	5715
157769	NM_144963	FAM91A1	5715
157777	NM_001136161	MCMDC2	3071
157777	NM_173518	MCMDC2	3071
157777	NM_001136160	MCMDC2	3071
157807	NM_173519	CLVS1	7450
157848	NM_152568	NKX6-3	14736
157922	NM_015447	CAMSAP1	8012
157927	NM_173520	C9orf62	13684
157983	NM_152569	C9orf66	11553
158038	NM_001258282	LINGO2	14446
158038	NM_152570	LINGO2	14446
158046	NM_145283	NXNL2	3478
158055	NM_152571	C9orf163	7322
158135	NM_194252	TTLL11	13590
158135	NM_001139442	TTLL11	13590
158158	NM_152573	RASEF	9203
158219	NM_001168339	TTC39B	4543
158219	NM_152574	TTC39B	4543
158219	NM_001168341	TTC39B	4543
158219	NM_001168340	TTC39B	4543
158219	NM_001168342	TTC39B	4543
158234	NM_144964	TRMT10B	13325
158234	NM_001286950	TRMT10B	13325
158234	NM_001286952	TRMT10B	13325
158234	NM_001286951	TRMT10B	13325
158234	NM_001286954	TRMT10B	13325
158234	NM_001286953	TRMT10B	13325
158293	NM_001322224	FAM120AOS	7900
158293	NR_136238	FAM120AOS	7900
158293	NR_136231	FAM120AOS	7900
158293	NR_136233	FAM120AOS	7900
158293	NM_198841	FAM120AOS	7900
158293	NR_136236	FAM120AOS	7900
158293	NR_136237	FAM120AOS	7900
158293	NR_136230	FAM120AOS	7900
158293	NR_136229	FAM120AOS	7900
158293	NR_136234	FAM120AOS	7900
158293	NR_136235	FAM120AOS	7900
158293	NR_136232	FAM120AOS	7900
158326	NM_144966	FREM1	3028
158326	NM_001177704	FREM1	3028
158358	NM_001017969	KIAA2026	11877
158399	NM_133464	ZNF483	6259
158399	NM_001007169	ZNF483	6259
158401	NM_173521	C9orf84	4551
158401	NM_001080551	C9orf84	4551
158401	NR_109816	C9orf84	4551
158405	NM_133465	KIAA1958	7949
158405	NM_001287038	KIAA1958	7949
158405	NM_001287036	KIAA1958	7949
158427	NM_139246	TSTD2	4648
158471	NM_001308051	PRUNE2	5367
158471	NM_001308049	PRUNE2	5367
158471	NM_015225	PRUNE2	5367
158471	NM_001308050	PRUNE2	5367
